Survey Date,Carrie Lam,CY Leung,Donald Tsang,Tung
20-23/6/2005,,,72.3,
1-3/3/2005,,,,47.9
17-20/2/2005,,,,48.4
1-4/2/2005,,,,46.1
27-31/1/2005,,,,46.1
24-25/1/2005,,,,47.5
12/1/2005,,,,48.4
3-6/1/2005,,,,47.2
18-23/12/2004,,,,46
1-3/12/2004,,,,49.1
15-17/11/2004,,,,49.8
1-4/11/2004,,,,49.4
18-21/10/2004,,,,48.9
4-7/10/2004,,,,49
20-21/9/2004,,,,50
1-7/9/2004,,,,48.3
21-28/8/2004,,,,47.9
2-8/8/2004,,,,46.7
26-29/7/2004,,,,48.3
2-5/7/2004,,,,44.4
21-24/6/2004,,,,45.6
1-3/6/2004,,,,43.9
18-20/5/2004,,,,42
3-7/5/2004,,,,42.7
19-22/4/2004,,,,44.2
1-3/4/2004,,,,43
22-24/3/2004,,,,46.2
10/3/2004,,,,45
1-3/3/2004,,,,45.6
20-23/2/2004,,,,44.9
2-4/2/2004,,,,45.4
26-29/1/2004,,,,43.8
14-16/1/2004,,,,43.5
7/1/2004,,,,44.6
2-4/1/2004,,,,42.9
20-23/12/2003,,,,43.8
1-7/12/2003,,,,42.6
15-18/11/2003,,,,43.6
10-12/11/2003,,,,42.7
3-6/11/2003,,,,44.2
19-22/10/2003,,,,44.1
1-2/10/2003,,,,45.5
15-17/9/2003,,,,45.4
1-3/9/2003,,,,44.9
18-20/8/2003,,,,43.4
1-5/8/2003,,,,43
14-16/7/2003,,,,38.1
5/7/2003,,,,35.3
2-4/7/2003,,,,35
13-18/6/2003,,,,43.7
3-6/6/2003,,,,45.7
15-20/5/2003,,,,44.2
2-7/5/2003,,,,41.2
16-23/4/2003,,,,39.5
4-9/4/2003,,,,41.3
17-19/3/2003,,,,43.9
12-13/3/2003,,,,43.8
5/3/2003,,,,42.8
1-4/3/2003,,,,43.9
14-18/2/2003,,,,45.4
4-7/2/2003,,,,45.6
23-28/1/2003,,,,45.5
20-23/1/2003,,,,45.2
8-9/1/2003,,,,47.3
2-7/1/2003,,,,46.5
13-18/12/2002,,,,47
2-6/12/2002,,,,48
13-20/11/2002,,,,47.4
1-5/11/2002,,,,47.1
